0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/h.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/g.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/i.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/shopping-cart-template.PNG HTTP/1.1" 200 32687
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/paypal.jpg HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/bootstrap-ecommerce-templates.PNG HTTP/1.1" 200 18891
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/bootstrap-template.png HTTP/1.1" 200 31994
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
