127.0.0.1 - - [07/May/2023:20:30:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 21685
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/pp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/visa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/font-awesome/font/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/img/disc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:36 +0700] "GET /DemoSpringMVC/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/product HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:45 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 21685
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:51 +0700] "GET /DemoSpringMVC/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [07/May/2023:20:30:53 +0700] "GET /san-pham/2 HTTP/1.1" 404 765
