127.0.0.1 - - [16/May/2023:22:09:17 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:22 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 500 30580
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 29006
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/style.css HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/css/bootstrap.css HTTP/1.1" 200 133510
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 200 28711
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel1.png HTTP/1.1" 200 62632
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel3.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 200 57764
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 200 44919
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/b.jpg HTTP/1.1" 200 58795
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/i.jpg HTTP/1.1" 200 30551
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/g.jpg HTTP/1.1" 200 31481
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/a.jpg HTTP/1.1" 200 53862
0:0:0:0:0:0:0:1 - - [16/May/2023:22:09:42 +0700] "GET /DemoSpringMVC/assets/user/img/e.jpg HTTP/1.1" 200 29146
