0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:25 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:25 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:25 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:25 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:25 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/product HTTP/1.1" 200 29571
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:27 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 28524
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:28 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/san-pham/3 HTTP/1.1" 200 9230
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:30 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
